name,salary,published_at,area_name
Key-Account Manager сектора по работе с банками,91842.0,2003-10-17 00:00:00+04:00,Москва
Key-account manager по  газовому сектору,,2003-10-17 00:00:00+04:00,Москва
Key-Account Manager по  нефтяному сектору,70412.0,2003-10-17 00:00:00+04:00,Москва
Sales-Manager Tekelec,121116.0,2003-08-25 14:35:37+04:00,Москва
Sales-Manager Tekelec,122014.0,2003-09-23 00:00:00+04:00,Москва
Глава предствительства - sales-manager (Russia region),122014.0,2003-09-19 00:00:00+04:00,Москва
Системный инженер,53529.0,2003-12-08 00:00:00+03:00,Москва
Менеджер по продажам,90837.0,2003-08-25 16:38:00+04:00,Москва
Менеджер по маркетингу,24223.0,2003-08-25 17:13:53+04:00,Москва
Программист,11978.0,2003-11-10 00:00:00+03:00,Санкт-Петербург
Менеджер контрактов,,2003-09-23 00:00:00+04:00,Москва
Product Manager (IP Services),75697.0,2003-08-25 18:53:43+04:00,Москва
Менеджер по продажам,,2003-08-26 09:43:59+04:00,Москва
Системный администратор,,2003-09-22 00:00:00+04:00,Москва
Руководитель направления (оказание консультационных услуг крупным предприятиям нефтегазового комплекса),,2003-08-26 12:53:06+04:00,Москва
Менеджер проектов,,2003-09-15 00:00:00+04:00,Москва
Менеджер по продажам (IT-консалтинг и разработка заказных систем),,2003-12-09 00:00:00+03:00,Москва
Sales manager,60558.0,2003-08-26 14:40:25+04:00,Москва
Специалист в аналитическую службу,,2003-08-26 15:26:13+04:00,Москва
ИНЖЕНЕР по ремонту мобильных телефонов.,18368.0,2003-10-17 00:00:00+04:00,Санкт-Петербург
Эксперт по системам безопасности,,2003-08-26 16:19:53+04:00,Москва
IT Engineer,39798.0,2003-10-07 00:00:00+04:00,Москва
Начальник отдела продаж и маркетинга,,2003-08-26 18:09:30+04:00,Москва
Системный администратор,,2003-08-26 18:19:57+04:00,Москва
Менеджер по продажам,,2003-08-26 19:50:56+04:00,Москва
РАЗРАБОТЧИК WEB-ТЕХНОЛОГИЙ,39362.0,2003-08-26 19:56:42+04:00,Москва
Руководитель проектов (системы автоматизации документооборота),18167.0,2003-08-27 09:45:08+04:00,Москва
Руководитель направления по системам отображения (Barco),,2003-08-27 09:46:24+04:00,Москва
"Руководитель проектов (РРЛ, ВОЛС, Транк и т.д.)",,2003-08-27 09:47:52+04:00,Москва
Специалист управления автоматизированных  систем коммерческого учета,30279.0,2003-08-27 09:49:05+04:00,Москва
"Системный администратор на ПО (Rational ClearCase, ClearQuest)",24223.0,2003-08-27 09:50:47+04:00,Москва
Консультант по внедрению ERP-систем,30279.0,2003-08-27 09:52:28+04:00,Москва
